PIB Municipal (valor adicionado a preços básicos) - serviços - administração, defesa, educação e saúde públicas e seguridade social (preços de 2010)
Sigla,Código,Município,2021,
AP,1600204,Calçoene,52610.5819199643,
AP,1600212,Cutias,28052.3172399877,
AP,1600238,Ferreira Gomes,47321.1885255106,
AP,1600253,Itaubal,29078.3596617518,
AP,1600279,Laranjal do Jari,245149.449635345,
AP,1600303,Macapá,2316629.66922449,
AP,1600402,Mazagão,110049.351632607,
AP,1600501,Oiapoque,139699.083416396,
AP,1600535,Porto Grande,109613.82043174,
AP,1600550,Pracuúba,25985.2945632036,
AP,1600600,Santana,571181.664663877,
AP,1600709,Tartarugalzinho,83896.9400598528,
AP,1600808,Vitória do Jari,80251.6419381257,
BA,2900108,Abaíra,17169.6389057807,
BA,2900207,Abaré,40997.3501780864,
BA,2900306,Acajutiba,29728.6222156724,
BA,2900355,Adustina,32929.9866053259,
BA,2900405,Água Fria,33813.6528038698,
BA,2900504,Érico Cardoso,19311.8175561336,
BA,2900603,Aiquara,11494.1958831201,
BA,2900702,Alagoinhas,291396.981395588,
BA,2900801,Alcobaça,50102.8931621314,
BA,2900900,Almadina,12390.4658784736,
BA,2901007,Amargosa,65196.173245343,
BA,2901106,Amélia Rodrigues,49061.4460998221,
BA,2901155,América Dourada,30199.6307705223,
BA,2901205,Anagé,43595.5995500332,
BA,2901304,Andaraí,28319.797816726,
BA,2901353,Andorinha,32458.5112431868,
BA,2901403,Angical,30423.6982693607,
BA,2901502,Anguera,20552.1245236619,
BA,2901601,Antas,32581.7483675479,
BA,2901700,Antônio Cardoso,25307.9571865067,
BA,2901809,Antônio Gonçalves,20555.8589819759,
BA,2901908,Aporá,35518.4330241985,
BA,2901957,Apuarema,16616.9390753127,
BA,2902005,Aracatu,24703.4417469323,
BA,2902054,Araças,25601.5789714428,
BA,2902104,Araci,98785.7585503744,
BA,2902203,Aramari,22050.1091148544,
BA,2902252,Arataca,20676.7620698908,
BA,2902302,Aratuípe,17884.3208656174,
BA,2902401,Aurelino Leal,28074.7239898716,
BA,2902500,Baianópolis,28077.0580263178,
BA,2902609,Baixa Grande,39982.5111312642,
BA,2902658,Banzaê,26743.3896009401,
BA,2902708,Barra,97369.9320420893,
BA,2902807,Barra da Estiva,37654.5431797911,
BA,2902906,Barra do Choça,60634.0656075356,
BA,2903003,Barra do Mendes,23626.5173306403,
BA,2903102,Barra do Rocha,14099.4473644056,
BA,2903201,Barreiras,303252.019313296,
BA,2903235,Barro Alto,26838.6182879464,
BA,2903276,Barrocas,28211.9653329101,
BA,2903300,Governador Lomanto Júnior,15268.3328166792,
BA,2903409,Belmonte,51877.6944758471,
BA,2903508,Belo Campo,34752.4022625448,
BA,2903607,Biritinga,34858.3675172038,
BA,2903706,Boa Nova,26190.6897704721,
BA,2903805,Boa Vista do Tupim,34150.2208594166,
BA,2903904,Bom Jesus da Lapa,136845.023649942,
BA,2903953,Bom Jesus da Serra,18887.0229229191,
BA,2904001,Boninal,28009.370969377,
BA,2904050,Bonito,34774.3422051394,
BA,2904100,Boquira,43153.5330471166,
BA,2904209,Botuporã,21677.1300907463,
BA,2904308,Brejões,29469.0773628513,
BA,2904407,Brejolândia,18922.0334696126,
BA,2904506,Brotas de Macaúbas,21787.2966110085,
BA,2904605,Brumado,113684.37999397,
BA,2904704,Buerarema,31943.6228031477,
BA,2904753,Buritirama,39529.7080606949,
BA,2904803,Caatiba,14604.5328513704,
BA,2904852,Cabaceiras do Paraguaçu,33792.6464758537,
BA,2904902,Cachoeira,60907.6146790341,
BA,2905008,Caculé,41286.7706974193,
BA,2905107,Caém,18552.7889038185,
BA,2905156,Caetanos,26011.9025786906,
BA,2905206,Caetité,98744.2127016315,
BA,2905305,Cafarnaum,38734.7352471079,
BA,2905404,Cairu,48300.5502183501,
BA,2905503,Caldeirão Grande,26344.2693686342,
BA,2905602,Camacan,63224.3792555652,
BA,2905701,Camaçari,649297.6632537,
BA,2905800,Camamu,69554.2860977497,
BA,2905909,Campo Alegre de Lourdes,54025.0080063816,
BA,2906006,Campo Formoso,130083.786872494,
BA,2906105,Canápolis,19551.2896955171,
BA,2906204,Canarana,48246.4005727975,
BA,2906303,Canavieiras,60682.146758328,
BA,2906402,Candeal,16339.188738211,
BA,2906501,Candeias,211276.045498452,
BA,2906600,Candiba,24849.0856211773,
BA,2906709,Cândido Sales,50998.2295429064,
BA,2906808,Cansanção,77416.7212705309,
BA,2906824,Canudos,29589.0468361877,
BA,2906857,Capela do Alto Alegre,21961.4157298975,
BA,2906873,Capim Grosso,54376.9807024736,
BA,2906899,Caraíbas,17597.7011900199,
BA,2906907,Caravelas,46578.03132103,
BA,2907004,Cardeal da Silva,17232.1910825398,
BA,2907103,Carinhanha,52188.1213231961,
BA,2907202,Casa Nova,132745.055228489,
BA,2907301,Castro Alves,51517.3192485487,
BA,2907400,Catolândia,8669.54497588864,
BA,2907509,Catu,96310.7463027887,
BA,2907558,Caturama,18048.1702241429,
BA,2907608,Central,33746.4325542183,
BA,2907707,Chorrochó,25666.9319919374,
BA,2907806,Cícero Dantas,67047.5309544952,
BA,2907905,Cipó,33251.1500203276,
BA,2908002,Coaraci,35934.3583189173,
