PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010)
Sigla,Código,Município,2021,
AM,1304401,Urucurituba,15948.0042298223,
AP,1600055,Serra do Navio,1832.68541758232,
AP,1600105,Amapá,13342.7527485368,
AP,1600154,Pedra Branca do Amaparí,3319.46663383287,
AP,1600204,Calçoene,7472.184278971,
AP,1600212,Cutias,10610.0628772869,
AP,1600238,Ferreira Gomes,1507.32073697741,
AP,1600253,Itaubal,5469.11420081366,
AP,1600279,Laranjal do Jari,6194.99953559219,
AP,1600303,Macapá,33348.7127437801,
AP,1600402,Mazagão,12907.6883549589,
AP,1600501,Oiapoque,8432.87368024059,
AP,1600535,Porto Grande,15763.1485432806,
AP,1600550,Pracuúba,8859.06873532277,
AP,1600600,Santana,8883.80952165285,
AP,1600709,Tartarugalzinho,20766.8558767154,
AP,1600808,Vitória do Jari,2973.09562521186,
BA,2900108,Abaíra,2635.1271477973,
BA,2900207,Abaré,11791.5521263702,
BA,2900306,Acajutiba,11482.9925081782,
BA,2900355,Adustina,50435.259952075,
BA,2900405,Água Fria,16230.4226398165,
BA,2900504,Érico Cardoso,3377.8175449887,
BA,2900603,Aiquara,6908.28107356106,
BA,2900702,Alagoinhas,57479.848754096,
BA,2900801,Alcobaça,38006.9826831724,
BA,2900900,Almadina,8703.1551007144,
BA,2901007,Amargosa,16014.2908648953,
BA,2901106,Amélia Rodrigues,26004.4336620627,
BA,2901155,América Dourada,21634.1838201356,
BA,2901205,Anagé,10763.6424754491,
BA,2901304,Andaraí,6680.94592369794,
BA,2901353,Andorinha,5496.18902358997,
BA,2901403,Angical,29143.2458749571,
BA,2901502,Anguera,2507.22195054372,
BA,2901601,Antas,11531.5404662598,
BA,2901700,Antônio Cardoso,4090.16546837908,
BA,2901809,Antônio Gonçalves,3679.84186113128,
BA,2901908,Aporá,11091.3411925002,
BA,2901957,Apuarema,6770.5729232333,
BA,2902005,Aracatu,18041.6349220935,
BA,2902054,Araças,6963.36433369216,
BA,2902104,Araci,34335.5433532475,
BA,2902203,Aramari,4888.87274028008,
BA,2902252,Arataca,12721.4322465495,
BA,2902302,Aratuípe,7652.83869990945,
BA,2902401,Aurelino Leal,15617.9714763249,
BA,2902500,Baianópolis,62845.3317366969,
BA,2902609,Baixa Grande,11721.5310329832,
BA,2902658,Banzaê,8942.16043280868,
BA,2902708,Barra,22249.902634652,
BA,2902807,Barra da Estiva,56498.1530248104,
BA,2902906,Barra do Choça,111145.881955047,
BA,2903003,Barra do Mendes,4578.44589293107,
BA,2903102,Barra do Rocha,12260.6934520631,
BA,2903201,Barreiras,934091.655542894,
BA,2903235,Barro Alto,6473.68348727243,
BA,2903276,Barrocas,5877.57057890447,
BA,2903300,Governador Lomanto Júnior,11539.0093828877,
BA,2903409,Belmonte,44914.3301421549,
BA,2903508,Belo Campo,6339.2429879694,
BA,2903607,Biritinga,5904.64540168078,
BA,2903706,Boa Nova,7851.69860512852,
BA,2903805,Boa Vista do Tupim,14547.5823620824,
BA,2903904,Bom Jesus da Lapa,130616.413989524,
BA,2903953,Bom Jesus da Serra,3167.75426482771,
BA,2904001,Boninal,4601.7862573934,
BA,2904050,Bonito,45410.5462906241,
BA,2904100,Boquira,8515.031763148,
BA,2904209,Botuporã,6755.16828268816,
BA,2904308,Brejões,7367.15263889051,
BA,2904407,Brejolândia,23531.7554509232,
BA,2904506,Brotas de Macaúbas,4529.43112756017,
BA,2904605,Brumado,22232.6307649498,
BA,2904704,Buerarema,11351.8196598998,
BA,2904753,Buritirama,9387.49458674997,
BA,2904803,Caatiba,11316.8091132063,
BA,2904852,Cabaceiras do Paraguaçu,10195.0711971467,
