PIB Municipal - impostos, líquidos de subsídios, sobre produtos (preços de 2010)
Sigla,Código,Município,2021,
BA,2906006,Campo Formoso,57611.9552169528,
BA,2906105,Canápolis,1454.10470600329,
BA,2906204,Canarana,6979.70258881579,
BA,2906303,Canavieiras,9307.20373299955,
BA,2906402,Candeal,855.657761189095,
BA,2906501,Candeias,597274.791710897,
BA,2906600,Candiba,3618.22329895072,
BA,2906709,Cândido Sales,8594.38900231993,
BA,2906808,Cansanção,9101.34171844178,
BA,2906824,Canudos,4541.56811708058,
BA,2906857,Capela do Alto Alegre,3569.20853357983,
BA,2906873,Capim Grosso,40831.6335904038,
BA,2906899,Caraíbas,2532.42954416303,
BA,2906907,Caravelas,9209.17420225776,
BA,2907004,Cardeal da Silva,2830.25259470239,
BA,2907103,Carinhanha,7054.8585623845,
BA,2907202,Casa Nova,32305.8652596031,
BA,2907301,Castro Alves,12048.7629427451,
BA,2907400,Catolândia,5512.06047142435,
BA,2907509,Catu,34286.5285878766,
BA,2907558,Caturama,1416.29331557431,
BA,2907608,Central,5361.28171699769,
BA,2907707,Chorrochó,1838.28710505328,
BA,2907806,Cícero Dantas,12646.74308027,
BA,2907905,Cipó,4801.11296990171,
BA,2908002,Coaraci,4456.14238314845,
BA,2908101,Cocos,16487.6334561914,
BA,2908200,Conceição da Feira,18566.3263152067,
BA,2908309,Conceição do Almeida,7681.78075184274,
BA,2908408,Conceição do Coité,39536.7101700336,
BA,2908507,Conceição do Jacuípe,409548.24034036,
BA,2908606,Conde,8060.36146342177,
BA,2908705,Condeúba,4532.23197129565,
BA,2908804,Contendas do Sincorá,1090.46182768016,
BA,2908903,Coração de Maria,7263.988227967,
BA,2909000,Cordeiros,1554.00146590207,
BA,2909109,Coribe,4628.39427288046,
BA,2909208,Coronel João Sá,3422.16423746713,
BA,2909307,Correntina,105702.908962431,
BA,2909406,Cotegipe,2798.04289174437,
BA,2909505,Cravolândia,983.562958442675,
BA,2909604,Crisópolis,4874.86852160268,
BA,2909703,Cristópolis,5510.19324226736,
BA,2909802,Cruz das Almas,58464.8121344065,
BA,2909901,Curaçá,14374.3968577719,
BA,2910008,Dário Meira,1892.43675060589,
BA,2910057,Dias d'Ávila,186457.302351076,
BA,2910107,Dom Basílio,4979.90016168318,
BA,2910206,Dom Macedo Costa,772.099256413946,
BA,2910305,Elísio Medrado,1518.52411191933,
BA,2910404,Encruzilhada,7639.76809581055,
BA,2910503,Entre Rios,21572.5652579551,
BA,2910602,Esplanada,21012.8633181484,
BA,2910701,Euclides da Cunha,26120.2018697959,
BA,2910727,Eunápolis,194645.102204462,
BA,2910750,Fátima,3800.27814175691,
BA,2910776,Feira da Mata,1309.86125362608,
BA,2910800,Feira de Santana,1389777.72793052,
BA,2910859,Filadélfia,3450.63948211118,
BA,2910909,Firmino Alves,1072.72315068878,
BA,2911006,Floresta Azul,2144.51268679907,
BA,2911105,Formosa do Rio Preto,78101.5275638557,
BA,2911204,Gandu,22012.2977244254,
BA,2911253,Gavião,824.848480098817,
BA,2911303,Gentio do Ouro,7493.1906069871,
BA,2911402,Glória,4626.99385101272,
BA,2911501,Gongogi,1113.33538485324,
BA,2911600,Governador Mangabeira,8835.72837086044,
BA,2911659,Guajeru,1341.1373420056,
BA,2911709,Guanambi,96047.0001843644,
BA,2911808,Guaratinga,3575.27702834003,
BA,2911857,Heliópolis,3046.38436962359,
BA,2911907,Iaçu,5720.7233297176,
BA,2912004,Ibiassucê,3218.16945206635,
BA,2912103,Ibicaraí,4743.69567332438,
BA,2912202,Ibicoara,11748.6058557595,
BA,2912301,Ibicuí,5332.80647235364,
BA,2912400,Ibipeba,6476.01752371867,
BA,2912509,Ibipitanga,3159.81854091052,
BA,2912608,Ibiquera,585.376340715289,
BA,2912707,Ibirapitanga,3734.92512126238,
BA,2912806,Ibirapuã,24652.5597524044,
BA,2912905,Ibirataia,5789.34400123686,
BA,2913002,Ibitiara,2924.54766713021,
BA,2913101,Ibititá,3830.1538082687,
BA,2913200,Ibotirama,20307.5175040967,
BA,2913309,Ichu,1111.9349629855,
BA,2913408,Igaporã,7713.05684022227,
BA,2913457,Igrapiúna,4916.41437034564,
BA,2913507,Iguaí,5233.37651974411,
BA,2913606,Ilhéus,447039.867776204,
BA,2913705,Inhambupe,12020.7545053903,
BA,2913804,Ipecaetá,1798.60848546731,
BA,2913903,Ipiaú,22747.0523976996,
BA,2914000,Ipirá,25335.032009283,
BA,2914109,Ipupiara,3685.91035589149,
BA,2914208,Irajuba,4099.03480687477,
BA,2914307,Iramaia,3454.8407477144,
BA,2914406,Iraquara,43006.0219437147,
BA,2914505,Irará,9475.72116441759,
BA,2914604,Irecê,100322.488146574,
BA,2914653,Itabela,21292.4808844071,
BA,2914703,Itaberaba,52274.4806717067,
BA,2914802,Itabuna,236653.556971056,
BA,2914901,Itacaré,11368.6247223127,
BA,2915007,Itaeté,3458.10839873913,
BA,2915106,Itagi,2701.88059015957,
BA,2915205,Itagibá,13450.5852323527,
BA,2915304,Itagimirim,4084.56378090812,
BA,2915353,Itaguaçu da Bahia,4575.17824190634,
BA,2915403,Itaju do Colônia,1182.88967095099,
BA,2915502,Itajuípe,8640.60292395535,
BA,2915601,Itamaraju,44188.9116146656,
BA,2915700,Itamari,2039.94785400783,
BA,2915809,Itambé,5744.53050146918,
BA,2915908,Itanagra,1447.56940395384,
BA,2916005,Itanhém,5813.61798027768,
BA,2916104,Itaparica,7817.62167301352,
BA,2916203,Itapé,2040.88146858632,
BA,2916302,Itapebi,2259.34727995375,
BA,2916401,Itapetinga,80632.0898788617,
BA,2916500,Itapicuru,7620.62899695143,
BA,2916609,Itapitanga,1230.0372071649,
BA,2916708,Itaquara,1788.80553239313,
BA,2916807,Itarantim,8018.81561467882,
BA,2916856,Itatim,39162.3307240578,
BA,2916906,Itiruçu,3670.50571534635,
BA,2917003,Itiúba,7057.65940611998,
BA,2917102,Itororó,7445.57626348394,
BA,2917201,Ituaçu,4235.80934262403,
BA,2917300,Ituberá,13320.3459986529,
BA,2917334,Iuiú,3227.50559785128,
BA,2917359,Jaborandi,24449.9653888714,
BA,2917409,Jacaraci,3656.50149666895,
BA,2917508,Jacobina,70967.3117622993,
BA,2917607,Jaguaquara,32560.7420395318,
BA,2917706,Jaguarari,21525.4177217412,
BA,2917805,Jaguaripe,6646.40218429369,
BA,2917904,Jandaíra,3173.82275958792,
BA,2918001,Jequié,201760.178907159,
BA,2918100,Jeremoabo,13089.7431977651,
BA,2918209,Jiquiriçá,4201.73241050903,
BA,2918308,Jitaúna,4171.38993670799,
BA,2918357,João Dourado,11958.6691359205,
BA,2918407,Juazeiro,321327.264360215,
BA,2918456,Jucuruçu,1413.49247183883,
BA,2918506,Jussara,2504.88791409748,
BA,2918555,Jussari,993.832718806101,
BA,2918605,Jussiape,1727.18697021258,
BA,2918704,Lafaiete Coutinho,818.313178049364,
BA,2918753,Lagoa Real,3407.22640421124,
BA,2918803,Laje,9769.80975664298,
BA,2918902,Lajedão,1492.84971101076,
BA,2919009,Lajedinho,3560.80600237339,
BA,2919058,Lajedo do Tabocal,2211.73293645059,
BA,2919108,Lamarão,946.218375302944,
BA,2919157,Lapão,10377.1260399529,
BA,2919207,Lauro de Freitas,588364.840981046,
BA,2919306,Lençóis,5173.62518672054,
BA,2919405,Licínio de Almeida,6228.1428531287,
BA,2919504,Livramento de Nossa Senhora,19597.0368098633,
BA,2919553,Luís Eduardo Magalhães,736531.341817087,
BA,2919603,Macajuba,1772.00046998025,
BA,2919702,Macarani,3624.29179371093,
BA,2919801,Macaúbas,11182.8354211926,
BA,2919900,Macururé,1441.50090919363,
BA,2919926,Madre de Deus,22286.7804105024,
BA,2919959,Maetinga,1475.11103401939,
BA,2920007,Maiquinique,8970.63567745272,
BA,2920106,Mairi,4568.64293985689,
BA,2920205,Malhada,4157.85252531984,
BA,2920304,Malhada de Pedras,1985.79820845522,
BA,2920403,Manoel Vitorino,2985.69942202152,
BA,2920452,Mansidão,1683.30708502339,
BA,2920502,Maracás,17782.5568765616,
BA,2920601,Maragogipe,6898.47812048688,
BA,2920700,Maraú,7791.48046481571,
BA,2920809,Marcionílio Souza,1671.17009550298,
BA,2920908,Mascote,5198.83278033985,
BA,2921005,Mata de São João,82134.2757356574,
BA,2921054,Matina,1611.88556976866,
BA,2921104,Medeiros Neto,18514.5107061003,
BA,2921203,Miguel Calmon,7578.61634091924,
BA,2921302,Milagres,8372.65553992777,
BA,2921401,Mirangaba,2929.21574002268,
BA,2921450,Mirante,1447.10259666459,
BA,2921500,Monte Santo,11866.2412926496,
BA,2921609,Morpará,1501.2522422172,
BA,2921708,Morro do Chapéu,19263.7364053412,
BA,2921807,Mortugaba,2932.01658375816,
BA,2921906,Mucugê,11214.5783168613,
BA,2922003,Mucuri,97868.4822270048,
BA,2922052,Mulungu do Morro,6580.11554922067,
