População  residente - rural
Sigla,Código,Município,2010,
BA,2900355,Adustina,10130,
BA,2900405,Água Fria,9954,
BA,2900504,Érico Cardoso,8843,
BA,2900603,Aiquara,1922,
BA,2900702,Alagoinhas,17907,
BA,2900801,Alcobaça,10186,
BA,2900900,Almadina,1277,
BA,2901007,Amargosa,9460,
BA,2901106,Amélia Rodrigues,5233,
BA,2901155,América Dourada,5129,
BA,2901205,Anagé,20592,
BA,2901304,Andaraí,6187,
BA,2901353,Andorinha,8206,
BA,2901403,Angical,7542,
BA,2901502,Anguera,5916,
BA,2901601,Antas,10712,
BA,2901700,Antônio Cardoso,8329,
BA,2901809,Antônio Gonçalves,5232,
BA,2901908,Aporá,9226,
BA,2901957,Apuarema,2342,
BA,2902005,Aracatu,9805,
BA,2902054,Araças,5754,
BA,2902104,Araci,32013,
BA,2902203,Aramari,4911,
BA,2902252,Arataca,4804,
BA,2902302,Aratuípe,3086,
BA,2902401,Aurelino Leal,2169,
BA,2902500,Baianópolis,10368,
BA,2902609,Baixa Grande,11722,
BA,2902658,Banzaê,7772,
BA,2902708,Barra,26879,
BA,2902807,Barra da Estiva,10783,
BA,2902906,Barra do Choça,12381,
BA,2903003,Barra do Mendes,7731,
BA,2903102,Barra do Rocha,2507,
BA,2903201,Barreiras,13686,
BA,2903235,Barro Alto,6900,
BA,2903276,Barrocas,8496,
BA,2903300,Governador Lomanto Júnior,1158,
BA,2903409,Belmonte,10378,
BA,2903508,Belo Campo,6992,
BA,2903607,Biritinga,11319,
BA,2903706,Boa Nova,9607,
BA,2903805,Boa Vista do Tupim,11398,
BA,2903904,Bom Jesus da Lapa,20381,
BA,2903953,Bom Jesus da Serra,7345,
BA,2904001,Boninal,9088,
BA,2904050,Bonito,8602,
BA,2904100,Boquira,14673,
BA,2904209,Botuporã,7078,
BA,2904308,Brejões,9345,
BA,2904407,Brejolândia,9093,
BA,2904506,Brotas de Macaúbas,7599,
BA,2904605,Brumado,19471,
BA,2904704,Buerarema,3328,
BA,2904753,Buritirama,11695,
BA,2904803,Caatiba,6022,
BA,2904852,Cabaceiras do Paraguaçu,12683,
BA,2904902,Cachoeira,15639,
BA,2905008,Caculé,8927,
BA,2905107,Caém,6713,
BA,2905156,Caetanos,10348,
BA,2905206,Caetité,19068,
BA,2905305,Cafarnaum,6646,
BA,2905404,Cairu,7227,
BA,2905503,Caldeirão Grande,7933,
BA,2905602,Camacan,6787,
BA,2905701,Camaçari,10997,
BA,2905800,Camamu,19562,
BA,2905909,Campo Alegre de Lourdes,19964,
BA,2906006,Campo Formoso,41753,
BA,2906105,Canápolis,6185,
BA,2906204,Canarana,12612,
BA,2906303,Canavieiras,6433,
BA,2906402,Candeal,5419,
BA,2906501,Candeias,7164,
BA,2906600,Candiba,5485,
BA,2906709,Cândido Sales,8632,
BA,2906808,Cansanção,21887,
BA,2906824,Canudos,7034,
BA,2906857,Capela do Alto Alegre,5932,
BA,2906873,Capim Grosso,4815,
BA,2906899,Caraíbas,7709,
BA,2906907,Caravelas,9684,
BA,2907004,Cardeal da Silva,5998,
BA,2907103,Carinhanha,15795,
BA,2907202,Casa Nova,27397,
BA,2907301,Castro Alves,9722,
BA,2907400,Catolândia,1645,
BA,2907509,Catu,8322,
BA,2907558,Caturama,6469,
BA,2907608,Central,8856,
