População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,2010,
BA,2922730,Nova Fátima,3495,
BA,2922755,Nova Ibiá,3043,
BA,2922805,Nova Itarana,2488,
BA,2922854,Nova Redenção,3492,
BA,2922904,Nova Soure,9683,
BA,2923001,Nova Viçosa,17572,
BA,2923035,Novo Horizonte,4121,
BA,2923050,Novo Triunfo,6393,
BA,2923100,Olindina,8782,
BA,2923209,Oliveira dos Brejinhos,7061,
BA,2923308,Ouriçangas,4219,
BA,2923357,Ourolândia,7378,
BA,2923407,Palmas de Monte Alto,9248,
BA,2923506,Palmeiras,3868,
BA,2923605,Paramirim,9835,
BA,2923704,Paratinga,11009,
BA,2923803,Paripiranga,10544,
BA,2923902,Pau Brasil,3823,
BA,2924009,Paulo Afonso,47160,
BA,2924058,Pé de Serra,6434,
BA,2924108,Pedrão,2960,
BA,2924207,Pedro Alexandre,6915,
BA,2924306,Piatã,7088,
BA,2924405,Pilão Arcado,11434,
BA,2924504,Pindaí,7396,
BA,2924603,Pindobaçu,8256,
BA,2924652,Pintadas,4656,
BA,2924678,Piraí do Norte,4248,
BA,2924702,Piripá,4484,
BA,2924801,Piritiba,9128,
BA,2924900,Planaltino,4273,
BA,2925006,Planalto,10714,
BA,2925105,Poções,18854,
BA,2925204,Pojuca,15214,
BA,2925253,Ponto Novo,6463,
BA,2925303,Porto Seguro,64351,
BA,2925402,Potiraguá,4448,
BA,2925501,Prado,12918,
BA,2925600,Presidente Dutra,4863,
BA,2925709,Presidente Jânio Quadros,5372,
BA,2925758,Presidente Tancredo Neves,11600,
BA,2925808,Queimadas,10941,
BA,2925907,Quijingue,10961,
BA,2925931,Quixabeira,4454,
BA,2925956,Rafael Jambeiro,9963,
BA,2926004,Remanso,17053,
BA,2926103,Retirolândia,5844,
BA,2926202,Riachão das Neves,7113,
BA,2926301,Riachão do Jacuípe,15338,
BA,2926400,Riacho de Santana,13268,
BA,2926509,Ribeira do Amparo,5969,
BA,2926608,Ribeira do Pombal,20734,
BA,2926657,Ribeirão do Largo,3680,
BA,2926707,Rio de Contas,5148,
BA,2926806,Rio do Antônio,6153,
BA,2926905,Rio do Pires,4593,
